failed_attempts,num_target_servers,num_source_ports,ssh_client_diversity,avg_time_between_attempts,time_variance,total_duration_minutes,attempts_per_minute,port_entropy,target_entropy,session_duration,failures_per_ip,attempts_frequency,port_variability,target_diversity_ratio,attempts_efficiency,global_entropy,is_night,is_weekend,fail2ban_triggered,speed_category_code,is_attack
-0.205112861302041,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.2723741600605738,-0.24189687964260612,-0.41199456332863926,-0.14625877273908133,-0.5766411011768886,-0.5583876134771013,1.5519906321829926,-0.21542908437166788,-0.14379550406557773,-0.1653805228952227,-0.36625816899683666,-0.6603220877850006,-0.5901546359208569,0,0,0,0,0
-0.205112861302041,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.3143708967023475,-0.241898486230874,-0.39878039123699166,-0.14784649872747035,-0.5766411011768886,-0.5583876134771013,0.8708813624681547,-0.18998978570690359,-0.14379373551195362,-0.1653805228952227,-0.36625816899683666,-0.6603220877850006,-0.5901546359208569,0,0,0,0,0
-0.2091507147653422,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.2001470658525753,-0.24189702269202568,-0.3951690235184749,-0.14967684311202195,-0.5766411011768886,-0.5583876134771013,5.638646250435232,-0.2129350354829655,-0.14379845166177438,-0.1653805228952227,-0.36625816899683666,-1.2074831808630695,-0.5901546359208569,0,0,0,0,0
-0.205112861302041,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.25415156798386107,-0.24189791765309743,-0.40926086869306283,-0.14798709485470224,-0.5766411011768886,-0.5583876134771013,3.3682820180699578,-0.2144314648161869,-0.14379697786260992,-0.1653805228952227,-0.36625816899683666,-0.6603220877850006,-0.5901546359208569,0,1,0,0,0
-0.2091507147653422,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.2698870944562943,-0.2418974786623363,-0.41733828325596284,-0.14967684311202195,-0.5766411011768886,-0.5583876134771013,2.687172748360375,-0.21243622570522502,-0.14379845166177438,-0.1653805228952227,-0.36625816899683666,-1.2074831808630695,-0.5901546359208569,0,0,0,0,0
-0.205112861302041,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.19034586665152267,-0.24189778027699496,-0.4100408705877543,-0.14693082367441776,-0.5766411011768886,-0.5583876134771013,0.8708813624734102,-0.19846955192849167,-0.14379373551195365,-0.1653805228952227,-0.36625816899683666,-0.6603220877850006,-0.5901546359208569,0,0,0,0,0
-0.1606964732057282,0.571950071710715,-0.15520448569885706,0.6784710600318581,2.2725678103673643,6.568591344717476,2.2411977035591955,-0.1494718969249903,0.7929749960968553,1.725354422861465,-0.0560154368722376,-0.19647431281752978,-0.14349001126671118,-0.14966328393691855,0.4330506695404274,-0.1973396244112499,1.1833345400533195,0,0,0,0,1
-0.20107500783873986,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.2752323853111284,-0.24189838167161573,-0.4166045103191965,-0.14392869018388624,-0.5766411011768886,-0.5583876134771013,5.4116098271987045,-0.19447907370656786,-0.14379656519835263,-0.1653805228952227,-0.36625816899683666,-0.11316099470693164,-0.5901546359208569,0,0,0,0,0
1.539239834844063,2.7073597581995954,1.5300546500996886,0.6784710600318581,-0.3397015002327612,-0.24182182016649528,-0.30477614479055093,0.016450308143377126,2.762333521458193,2.4728535448034115,-0.25502894358515066,2.1668864141168482,0.10615229490656372,1.2044491475778922,2.6397193587462873,-0.10552618875700517,2.748619804887128,0,1,0,1,1
-0.156658619742427,0.08662968841778755,-0.15116309688399246,0.6784710600318581,-0.12501194857953588,-0.18952395861630894,-0.18146861124757968,-0.14723140046998742,0.8370924605933205,1.2108861694355222,-0.24539024887908545,-0.17552430215242976,-0.1401185685490464,-0.1478050475878658,-0.0050318333817629115,-0.19132686514665576,1.0121372484373259,0,0,0,0,1
-0.205112861302041,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.3426658215771857,-0.24189923407217187,-0.42339013519811286,-0.14967684311202195,-0.5766411011768886,-0.5583876134771013,-0.26430075373813255,-0.21143860614974405,1.8935829870966607,-0.1653805228952227,-0.36625816899683666,-0.6603220877850006,-0.5901546359208569,0,0,0,1,0
-0.18492359398553518,-0.30162661821655434,-0.17945281858804477,-0.8767634615311403,-0.05790795745342812,-0.22789503144188158,-0.29151206149127484,-0.14760638097144574,0.41093024751211277,0.45128696141428637,-0.2539921176418468,-0.20545288881685833,-0.14068319746196892,-0.15971400988233667,-0.2779117403158045,-0.26949273558638,0.44128109781337177,0,0,0,0,1
-0.20107500783873986,-0.4957547715337253,-0.19965976266236785,-0.8767634615311403,-0.29373884578496534,-0.24189756357890269,-0.3952568554856612,-0.1457404713872138,-0.5766411011768886,-0.5583876134771013,2.914209171596903,-0.17951478037435356,-0.14379508297831806,-0.1653805228952227,-0.36625816899683666,-0.11316099470693164,-0.5901546359208569,0,0,0,0,0
